Campaign,Source / Medium,Ad Content,Unique Pageviews,Bounces,Time on Page,Sessions,Pageviews,Exits,Session Duration
FY2018_Umbrella,MaineToday / Display,Kusow,36,36,0:00:00,36,36,36,0:00:00
FY2018_Umbrella,DBM / Video,Lauren_V1,29,23,0:00:59,29,36,29,0:00:59
FY2018_Umbrella,Pandora / Display,Elliot_V1,29,16,0:15:49,23,29,23,0:15:49
FY2018_Umbrella,Spotify / Display,640x640,29,10,0:26:51,20,33,20,0:26:51
FY2018_Umbrella,Pandora / Display,Kusow,23,16,0:02:37,20,26,20,0:02:37
FY2018_Undergrad,Facebook / PageLink,Undergrad_OOS_HS,20,20,0:00:00,20,20,20,0:00:00
FY2014_Undergrad,Centro / Display,(not set),10,0,0:01:57,3,13,3,0:01:57
fy2018_graduate,facebook / pagelink,grad_mppm,10,7,0:00:26,10,13,10,0:00:26
fy2018_graduate,facebook / pagelink,grad_leadership,7,0,0:00:49,7,13,7,0:00:49
FY2018_Graduate,Portland_Phoenix / display,(not set),7,7,0:00:00,7,7,7,0:00:00
fy2018_individual_courses,facebook / pagelink,wa,7,7,0:00:00,7,7,7,0:00:00
fy2018_undergrad,facebook / pagelink,ag_hs_ug,7,7,0:00:00,7,7,7,0:00:00
fy2018_undergrad,facebook / pagelink,undergrad_me_hs,7,3,0:00:20,7,10,7,0:00:20
FY2018_Undergrad,Facebook / PageLink,Undergrad_ME_HS_,7,7,0:00:00,7,7,7,0:00:00
FY2015_Transfer,Twitter / Social,(not set),3,3,0:00:00,3,3,3,0:00:00
fy2017_undergrad,facebook / pagelink,undergrad_os_hs,3,3,0:00:00,3,3,3,0:00:00
FY2017xa_Graduate,Facebook / PageLink,Lookalike,3,3,0:00:00,3,3,3,0:00:00
fy2018_degree_completion,facebook / pagelink,wa,3,3,0:00:00,3,3,3,0:00:00
fy2018_graduate,facebook / pagelink,grad_nursing,3,3,0:00:00,3,3,3,0:00:00
fy2018_graduate,facebook / pagelink,lookalike,3,3,0:00:00,3,3,3,0:00:00
FY2018_Graduate,Facebook / PageLink,AG,3,3,0:00:00,3,3,3,0:00:00
FY2018_Graduate,Facebook / PageLink,MFA,3,3,0:00:00,3,3,3,0:00:00
FY2018_Graduate,Facebook / PageLink,MFA_Stone,3,3,0:00:00,3,3,3,0:00:00
fy2018_stonecoast,facebook / pagelink,mfa_stonecoast,3,3,0:00:00,3,3,3,0:00:00
