Ad Name,Day,Campaign Name,Ad Set Name,Reporting Ends,Impressions,Clicks (All),Amount Spent (USD),Video Plays,Video Plays [On Ad],ThruPlays,ThruPlays [On Ad],Link Clicks,Link Clicks [On Ad],Reach,Purchases,Purchases [1 Day After Viewing],Purchases [28 Days After Clicking],Landing Page Views,Landing Page Views [On Ad],Page Engagement,Page Engagement [On Ad],Page Engagement [1 Day After Viewing],Page Engagement [28 Days After Clicking],Reporting Starts
University of Everyone_Apply Now_,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,06/30/2018,144,2,1.92,,,,,2,2,70,,,,2,2,2,2,0,0,06/30/2018
[AG_ALL_GR] Leadership_Grad,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Leadership_Grad,06/30/2018,1251,12,2.7,,,,,13,13,701,,,,9,9,13,13,0,0,06/30/2018
[AG_ALL_UG] Leadership_Undergrad,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Leadership_Undergrad,06/30/2018,1784,14,2.48,,,,,14,14,1067,,,,6,6,14,14,0,0,06/30/2018
[AG_CU_UG] Engineering_Transfer,06/30/2018,USM FY 2017-2018 Page Link,[AG_CU_UG] Engineering_Transfer,06/30/2018,1025,3,2.29,,,,,3,3,573,,,,1,1,3,3,0,0,06/30/2018
University of Everyone_Apply Now_,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/30/2018,1497,9,14.06,,,,,6,6,923,,,,1,1,6,6,0,0,06/30/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/30/2018,234,0,2.28,,,,,,,230,,,,,,,,,,06/30/2018
Integrate community-based learning into your education while studying in vibrant Portland,06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/30/2018,128,0,1.2,,,,,,,127,,,,,,,,,,06/30/2018
[AG_HS_UG] StillTime47,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/30/2018,1415,7,11.19,,,,,6,6,948,,,,,,6,6,0,0,06/30/2018
[AG_ALL_GR] Nursing_Grad,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR]Nursing_Grad,06/30/2018,1754,12,4.39,,,,,10,10,728,1,1,0,5,5,10,10,0,0,06/30/2018
[AG_ALL_GR] Public Health,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Public Health,06/30/2018,729,2,2.37,,,,,2,2,331,,,,2,2,2,2,0,0,06/30/2018
Find Yourself Here - Copy,06/30/2018,USM FY 2017-2018 Page Link,[AG_WA_GR] Lookalike,06/30/2018,1849,8,4.23,,,,,8,8,904,,,,5,5,8,8,0,0,06/30/2018
University of Everyone_LEARN_MORE_,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/30/2018,552,2,1.56,,,,,2,2,353,,,,,,2,2,0,0,06/30/2018
"[AG_HS_UG]	Small Classes",06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/30/2018,1241,6,3.22,,,,,4,4,857,,,,2,2,4,4,0,0,06/30/2018
[AG_ALL_GR] Creative Writing_V1 - Copy,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Creative Writing,06/30/2018,1878,15,6.17,,,,,18,18,1056,,,,3,3,18,18,0,0,06/30/2018
[AG_HS_UG]StillTime,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/30/2018,304,0,0,,,,,,,236,,,,,,,,,,06/30/2018
Find Yourself Here,06/30/2018,USM FY 2017-2018 Page Link,[AG_WA_GR] Lookalike,06/30/2018,1884,4,4.52,,,,,5,5,816,,,,,,5,5,0,0,06/30/2018
Have you thought about finishing your degree? USM can help you reach your goals.,06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,06/30/2018,1520,5,5.11,,,,,,,1481,,,,,,2,2,0,0,06/30/2018
[AG_ALL_GR] Creative Writing_V1,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Creative Writing,06/30/2018,977,14,3.96,,,,,14,14,486,,,,5,5,14,14,0,0,06/30/2018
University of Everyone_LEARN_MORE_,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,06/30/2018,178,3,2.58,,,,,4,4,92,,,,1,1,4,4,0,0,06/30/2018
"Offering diverse master's and doctoral degree programs, and advanced certificates",06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,06/30/2018,206,0,0.63,,,,,,,204,,,,,,,,,,06/30/2018
"Many graduate programs are offered online - pursue your degree at any time, from anywhere",06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,06/30/2018,801,3,2.27,,,,,,,781,,,,,,1,1,0,0,06/30/2018
University of Everyone_LEARN_MORE_,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,06/30/2018,242,6,3.68,,,,,5,5,119,,,,1,1,5,5,0,0,06/30/2018
[AG_ALL_UG] Business,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Business_Undergrad,06/30/2018,3230,20,3.5,,,,,20,20,1768,,,,7,7,20,20,0,0,06/30/2018
Find Yourself Here (1),06/30/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],06/30/2018,265,1,0.7,,,,,1,1,151,,,,1,1,1,1,0,0,06/30/2018
Find Yourself Here_LEARN_MORE_,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/30/2018,813,5,5.26,,,,,4,4,477,,,,,,4,4,0,0,06/30/2018
[AG_CU_UG] Leadership_Transfer,06/30/2018,USM FY 2017-2018 Page Link,[AG_CU_UG] Leadership_Transfer,06/30/2018,951,3,2.26,,,,,3,3,498,,,,,,3,3,0,0,06/30/2018
Find Yourself Here,06/30/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],06/30/2018,447,3,0.75,,,,,4,4,247,,,,,,4,4,0,0,06/30/2018
University of Everyone,06/30/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],06/30/2018,1076,8,4.62,,,,,7,7,645,,,,3,3,9,9,0,0,06/30/2018
[AG_HS_UG]Schedule A Tour,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/30/2018,1183,2,2.18,,,,,2,2,734,,,,,,2,2,0,0,06/30/2018
Find Yourself Here,06/30/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],06/30/2018,974,8,2.62,,,,,9,9,576,,,,3,3,9,9,0,0,06/30/2018
University of Everyone_LEARN_MORE_,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/30/2018,897,3,1.17,,,,,2,2,538,,,,,,2,2,0,0,06/30/2018
[AG_ALL_GR] Creative Writing,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Creative Writing,06/30/2018,4181,45,14.84,,,,,45,45,2134,,,,27,27,45,45,0,0,06/30/2018
Online programs to meet the demands of real life - finish quickly and start earning more,06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,06/30/2018,589,1,2.36,,,,,,,582,,,,,,,,,,06/30/2018
Online programs to meet the demands of real life - finish quickly and start earning more,06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,06/30/2018,783,1,2.4,,,,,,,780,,,,,,,,,,06/30/2018
"Academic credit may be available to you through prior courses, military or work experience",06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,06/30/2018,871,0,2.32,,,,,,,863,,,,,,,,,,06/30/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/30/2018,61,0,0.61,,,,,,,61,,,,,,,,,,06/30/2018
[AG_HS_UG]47 Majors,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/30/2018,1843,6,11.85,,,,,5,5,1254,,,,1,1,5,5,0,0,06/30/2018
[AG_ALL_UG] Business,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Business_Undergrad,06/30/2018,3889,33,4.72,,,,,34,34,2213,,,,9,9,34,34,0,0,06/30/2018
[AG_ALL_UG] Engineering_Undergrad,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Engineering_Undergrad,06/30/2018,1025,10,2.34,,,,,10,10,535,,,,3,3,10,10,0,0,06/30/2018
Find Yourself Here_LEARN_MORE_,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,06/30/2018,67,3,1.03,,,,,3,3,40,,,,1,1,3,3,0,0,06/30/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/30/2018,55,1,0.49,,,,,,,55,,,,,,,,,,06/30/2018
"""I want to help make a difference, that's why I chose USM.""",06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/30/2018,193,0,1.91,,,,,,,189,,,,,,,,,,06/30/2018
[AG_ALL_UG] Cyber Security,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Cyber Security,06/30/2018,1710,8,2.54,,,,,8,8,1057,,,,3,3,8,8,0,0,06/30/2018
"Many graduate programs are offered online - pursue your degree at any time, from anywhere",06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,06/30/2018,227,1,0.93,,,,,,,226,,,,,,,,,,06/30/2018
[AG_ALL_GR] Public Policy MPPM,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Public Policy MPPM,06/30/2018,789,1,2.6,,,,,1,1,389,,,,,,1,1,0,0,06/30/2018
[AG_ALL_UG] Cyber Security,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Cyber Security,06/30/2018,670,2,1.24,,,,,2,2,412,,,,1,1,2,2,0,0,06/30/2018
Find Yourself Here_LEARN_MORE_,06/29/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/29/2018,1457,10,8.25,,,,,7,7,849,,,,1,1,7,7,0,0,06/29/2018
[AG_ALL_UG] Engineering_Undergrad,06/29/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Engineering_Undergrad,06/29/2018,6014,37,13.85,,,,,38,38,2548,,,,20,20,38,38,0,0,06/29/2018
[AG_ALL_GR] Creative Writing_V1,06/29/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Creative Writing,06/29/2018,872,20,5.15,,,,,21,21,496,,,,11,11,21,21,0,0,06/29/2018
[AG_ALL_GR] Public Health,06/29/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Public Health,06/29/2018,3325,34,13.72,,,,,35,35,1550,,,,19,19,35,35,0,0,06/29/2018
[AG_ALL_GR] Public Policy MPPM,06/29/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Public Policy MPPM,06/29/2018,3924,15,12.88,,,,,12,12,1848,3,3,0,2,2,14,14,0,0,06/29/2018
Find Yourself Here_LEARN_MORE_,06/29/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,06/29/2018,325,3,4.01,,,,,2,2,127,,,,,,2,2,0,0,06/29/2018
[AG_ALL_UG] Leadership_Undergrad,06/29/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Leadership_Undergrad,06/29/2018,8551,72,14.06,,,,,74,74,4517,,,,29,29,75,75,0,0,06/29/2018
[AG_ALL_UG] Cyber Security,06/29/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Cyber Security,06/29/2018,4997,37,11.26,,,,,42,42,2839,,,,13,13,42,42,0,0,06/29/2018
[AG_ALL_GR] Creative Writing,06/29/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Creative Writing,06/29/2018,2579,46,11.2,,,,,48,48,1412,,,,24,24,48,48,0,0,06/29/2018
[AG_ALL_UG] Business,06/29/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Business_Undergrad,06/29/2018,9019,62,9.5,,,,,66,66,4587,,,,25,25,66,66,0,0,06/29/2018
"[AG_HS_UG]	Small Classes",06/29/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/29/2018,1941,10,6.27,,,,,4,4,1259,,,,,,4,4,0,0,06/29/2018
[AG_CU_UG] Engineering_Transfer,06/29/2018,USM FY 2017-2018 Page Link,[AG_CU_UG] Engineering_Transfer,06/29/2018,6652,18,13.52,,,,,17,17,2789,,,,10,10,17,17,0,0,06/29/2018
[AG_HS_UG]47 Majors,06/29/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/29/2018,2804,12,12.61,,,,,7,7,1740,,,,3,3,7,7,0,0,06/29/2018
Have you thought about finishing your degree? USM can help you reach your goals.,06/29/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,06/29/2018,3690,9,12.44,,,,,,,3527,,,,,,4,4,0,0,06/29/2018
"""I want to help make a difference, that's why I chose USM.""",06/29/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/29/2018,1050,6,9.43,,,,,,,1009,,,,,,5,5,0,0,06/29/2018
University of Everyone_LEARN_MORE_,06/29/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,06/29/2018,370,13,4.92,,,,,14,14,141,,,,8,8,14,14,0,0,06/29/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",06/29/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/29/2018,633,2,5.6,,,,,,,618,,,,,,,,,,06/29/2018
[AG_HS_UG]Schedule A Tour,06/29/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/29/2018,707,4,1.72,,,,,3,3,496,,,,,,3,3,0,0,06/29/2018
University of Everyone_LEARN_MORE_,06/29/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,06/29/2018,254,7,3.7,,,,,7,7,106,,,,5,5,7,7,0,0,06/29/2018
University of Everyone_LEARN_MORE_,06/29/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/29/2018,954,2,0.06,,,,,1,1,598,,,,,,1,1,0,0,06/29/2018
Find Yourself Here (1),06/29/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],06/29/2018,1218,10,3.29,,,,,11,11,685,,,,5,5,11,11,0,0,06/29/2018
Online programs to meet the demands of real life - finish quickly and start earning more,06/29/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,06/29/2018,1972,1,5.49,,,,,,,1940,,,,,,1,1,0,0,06/29/2018
"Many graduate programs are offered online - pursue your degree at any time, from anywhere",06/29/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,06/29/2018,1234,1,3.21,,,,,,,1199,,,,,,,,,,06/29/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",06/29/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/29/2018,321,1,2.82,,,,,,,317,,,,,,1,1,0,0,06/29/2018
Integrate community-based learning into your education while studying in vibrant Portland,06/29/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/29/2018,784,4,6.72,,,,,,,766,,,,,,1,1,0,0,06/29/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",06/29/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/29/2018,1298,6,11.78,,,,,,,1241,,,,,,2,2,0,0,06/29/2018
[AG_ALL_UG] Business,06/29/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Business_Undergrad,06/29/2018,8256,49,11.03,,,,,51,51,4332,,,,16,16,51,51,0,0,06/29/2018
[AG_ALL_GR] Leadership_Grad,06/29/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Leadership_Grad,06/29/2018,4203,36,13.32,,,,,42,42,2049,,,,20,20,42,42,0,0,06/29/2018
[AG_ALL_GR] Creative Writing_V1 - Copy,06/29/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Creative Writing,06/29/2018,1619,21,7.7,,,,,22,22,943,,,,9,9,22,22,0,0,06/29/2018
University of Everyone_Apply Now_,06/29/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/29/2018,1910,11,10.4,,,,,11,11,1000,,,,2,2,11,11,0,0,06/29/2018
University of Everyone,06/29/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],06/29/2018,2784,23,10.75,,,,,25,25,1581,,,,11,11,25,25,0,0,06/29/2018
University of Everyone_Apply Now_,06/29/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,06/29/2018,123,5,1.91,,,,,6,6,57,,,,2,2,6,6,0,0,06/29/2018
Find Yourself Here,06/29/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],06/29/2018,2103,17,3.84,,,,,17,17,1123,2,2,0,7,7,17,17,0,0,06/29/2018
[AG_CU_UG] Leadership_Transfer,06/29/2018,USM FY 2017-2018 Page Link,[AG_CU_UG] Leadership_Transfer,06/29/2018,5637,18,12.52,,,,,20,20,2445,,,,10,10,20,20,0,0,06/29/2018
Online programs to meet the demands of real life - finish quickly and start earning more,06/29/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,06/29/2018,1313,1,4.14,,,,,,,1293,,,,,,1,1,0,0,06/29/2018
Find Yourself Here,06/29/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],06/29/2018,3895,26,10.61,,,,,27,27,2077,,,,19,19,27,27,0,0,06/29/2018
Find Yourself Here,06/29/2018,USM FY 2017-2018 Page Link,[AG_WA_GR] Lookalike,06/29/2018,7430,43,18.93,,,,,45,45,3373,,,,19,19,45,45,0,0,06/29/2018
[AG_ALL_GR] Nursing_Grad,06/29/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR]Nursing_Grad,06/29/2018,4554,25,12.47,,,,,25,25,1979,,,,12,12,25,25,0,0,06/29/2018
"Many graduate programs are offered online - pursue your degree at any time, from anywhere",06/29/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,06/29/2018,1439,7,4.48,,,,,,,1376,1,1,0,,,3,3,0,0,06/29/2018
[AG_HS_UG]StillTime,06/29/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/29/2018,1379,6,5.6,,,,,3,3,905,,,,,,3,3,0,0,06/29/2018
[AG_ALL_UG] Cyber Security,06/29/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Cyber Security,06/29/2018,2990,32,5.96,,,,,31,31,1723,,,,9,9,32,32,0,0,06/29/2018
"Offering diverse master's and doctoral degree programs, and advanced certificates",06/29/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,06/29/2018,849,0,2.48,,,,,,,834,,,,,,,,,,06/29/2018
"Academic credit may be available to you through prior courses, military or work experience",06/29/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,06/29/2018,1737,1,5.27,,,,,,,1700,,,,,,,,,,06/29/2018
Find Yourself Here - Copy,06/29/2018,USM FY 2017-2018 Page Link,[AG_WA_GR] Lookalike,06/29/2018,7827,53,20.68,,,,,57,57,4101,2,1,1,21,21,57,57,0,0,06/29/2018
University of Everyone_LEARN_MORE_,06/29/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/29/2018,1542,9,5.89,,,,,7,7,884,,,,2,2,9,9,0,0,06/29/2018
[AG_HS_UG] StillTime47,06/29/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/29/2018,2325,11,13.65,,,,,8,8,1424,,,,2,2,8,8,0,0,06/29/2018
[AG_ALL_GR] Creative Writing_V1 - Copy,06/28/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Creative Writing,06/28/2018,1827,25,8,,,,,27,27,1068,,,,12,12,27,27,0,0,06/28/2018
[AG_HS_UG]Schedule A Tour,06/28/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/28/2018,397,1,3.94,,,,,1,1,312,,,,,,1,1,0,0,06/28/2018
[AG_ALL_UG] Engineering_Undergrad,06/28/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Engineering_Undergrad,06/28/2018,6434,41,13.91,,,,,42,42,2768,,,,15,15,42,42,0,0,06/28/2018
University of Everyone_LEARN_MORE_,06/28/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/28/2018,1270,5,6.85,,,,,4,4,806,,,,1,1,4,4,0,0,06/28/2018
Find Yourself Here,06/28/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],06/28/2018,2400,17,3.03,,,,,20,20,1198,,,,6,6,20,20,0,0,06/28/2018
Find Yourself Here - Copy,06/28/2018,USM FY 2017-2018 Page Link,[AG_WA_GR] Lookalike,06/28/2018,7797,34,20.72,,,,,34,34,3736,1,0,1,13,13,34,34,0,0,06/28/2018
University of Everyone,06/28/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],06/28/2018,3635,21,11.78,,,,,22,22,1801,,,,13,13,22,22,0,0,06/28/2018
Find Yourself Here_LEARN_MORE_,06/28/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/28/2018,1234,6,3.93,,,,,5,5,749,,,,1,1,5,5,0,0,06/28/2018
[AG_ALL_GR] Leadership_Grad,06/28/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Leadership_Grad,06/28/2018,6063,42,12.22,,,,,45,45,2713,1,1,0,14,14,45,45,0,0,06/28/2018
Find Yourself Here,06/28/2018,USM FY 2017-2018 Page Link,[AG_WA_GR] Lookalike,06/28/2018,6919,25,16.09,,,,,25,25,2993,,,,13,13,26,26,0,0,06/28/2018
Find Yourself Here_LEARN_MORE_,06/28/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,06/28/2018,249,1,2.91,,,,,,,124,,,,,,,,,,06/28/2018
[AG_ALL_UG] Business,06/28/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Business_Undergrad,06/28/2018,11144,59,14.21,,,,,61,61,5484,,,,23,23,61,61,0,0,06/28/2018
[AG_ALL_GR] Public Policy MPPM,06/28/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Public Policy MPPM,06/28/2018,4624,23,12.46,,,,,22,22,1865,,,,12,12,23,23,0,0,06/28/2018
Have you thought about finishing your degree? USM can help you reach your goals.,06/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,06/28/2018,3694,7,14.35,,,,,,,3510,,,,,,4,4,0,0,06/28/2018
[AG_ALL_UG] Business,06/28/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Business_Undergrad,06/28/2018,6041,49,7.74,,,,,51,51,3044,,,,20,20,51,51,0,0,06/28/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",06/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/28/2018,1504,2,12.98,,,,,,,1408,,,,,,1,1,0,0,06/28/2018
[AG_ALL_GR] Creative Writing,06/28/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Creative Writing,06/28/2018,2439,40,11.06,,,,,43,43,1333,,,,23,23,43,43,0,0,06/28/2018
"Offering diverse master's and doctoral degree programs, and advanced certificates",06/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,06/28/2018,459,2,1.37,,,,,,,454,1,1,0,,,1,1,0,0,06/28/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",06/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/28/2018,283,1,2.34,,,,,,,273,,,,,,,,,,06/28/2018
"Many graduate programs are offered online - pursue your degree at any time, from anywhere",06/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,06/28/2018,1800,7,6.46,,,,,,,1676,,,,,,4,4,0,0,06/28/2018
"""I want to help make a difference, that's why I chose USM.""",06/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/28/2018,993,6,8.55,,,,,,,928,,,,,,4,4,0,0,06/28/2018
University of Everyone_LEARN_MORE_,06/28/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,06/28/2018,428,11,5.55,,,,,12,12,151,,,,4,4,13,13,0,0,06/28/2018
[AG_ALL_GR] Public Health,06/28/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Public Health,06/28/2018,3629,27,12.5,,,,,27,27,1540,,,,10,10,28,28,0,0,06/28/2018
[AG_CU_UG] Leadership_Transfer,06/28/2018,USM FY 2017-2018 Page Link,[AG_CU_UG] Leadership_Transfer,06/28/2018,4711,23,12.83,,,,,23,23,2146,5,0,5,12,12,24,24,0,0,06/28/2018
"Academic credit may be available to you through prior courses, military or work experience",06/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,06/28/2018,1677,1,6.07,,,,,,,1637,,,,,,,,,,06/28/2018
[AG_HS_UG] StillTime47,06/28/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/28/2018,1632,11,10.95,,,,,10,10,1044,,,,1,1,11,11,0,0,06/28/2018
[AG_ALL_UG] Cyber Security,06/28/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Cyber Security,06/28/2018,3285,23,5.67,,,,,24,24,1823,,,,5,5,24,24,0,0,06/28/2018
University of Everyone_LEARN_MORE_,06/28/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,06/28/2018,336,9,4.85,,,,,10,10,127,,,,4,4,10,10,0,0,06/28/2018
Find Yourself Here (1),06/28/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],06/28/2018,1049,2,2.38,,,,,2,2,514,3,3,0,1,1,2,2,0,0,06/28/2018
University of Everyone_Apply Now_,06/28/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/28/2018,2044,9,4.6,,,,,9,9,1093,,,,,,9,9,0,0,06/28/2018
[AG_HS_UG]StillTime,06/28/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/28/2018,2054,9,12.64,,,,,8,8,1282,,,,,,8,8,0,0,06/28/2018
[AG_ALL_GR] Nursing_Grad,06/28/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR]Nursing_Grad,06/28/2018,5110,29,12.32,,,,,28,28,2242,1,0,1,14,14,29,29,0,0,06/28/2018
"Many graduate programs are offered online - pursue your degree at any time, from anywhere",06/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,06/28/2018,962,1,2.68,,,,,,,944,,,,,,1,1,0,0,06/28/2018
Integrate community-based learning into your education while studying in vibrant Portland,06/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/28/2018,330,1,2.64,,,,,,,320,,,,,,1,1,0,0,06/28/2018
[AG_HS_UG]47 Majors,06/28/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/28/2018,3094,9,9.74,,,,,7,7,1967,,,,,,7,7,0,0,06/28/2018
[AG_ALL_UG] Leadership_Undergrad,06/28/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Leadership_Undergrad,06/28/2018,7879,74,13.12,,,,,75,75,4031,,,,27,27,75,75,0,0,06/28/2018
[AG_ALL_GR] Creative Writing_V1,06/28/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Creative Writing,06/28/2018,1255,12,5.28,,,,,13,13,690,,,,5,5,13,13,0,0,06/28/2018
[AG_ALL_UG] Cyber Security,06/28/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Cyber Security,06/28/2018,6824,33,10.21,,,,,35,35,3707,,,,12,12,35,35,0,0,06/28/2018
