Day,Campaign,Campaign type,Ad,Impressions,Clicks,Cost,Views,Video played to 100%,Gmail clicks to website
02/06/2018,FY2018_YouTube,Video,Lauren_30s,109,0,1.97,31,28.44%,0
02/27/2018,FY2018_YouTube,Video,Lauren_30s,169,0,5.62,50,29.59%,0
02/28/2018,FY2018_YouTube,Video,Lauren_30s,106,0,4.91,40,39.05%,0
03/10/2018,FY2018_YouTube,Video,Lauren_30s,230,0,6.05,59,26.09%,0
04/14/2018,FY2018_YouTube,Video,Lauren_30s,195,0,7.99,44,21.03%,0
05/05/2018,FY2018_YouTube,Video,Lauren_30s,302,0,5.55,71,23.84%,0
05/12/2018,FY2018_YouTube,Video,Lauren_30s,192,0,4.43,51,26.04%,0
06/12/2018,FY2018_YouTube,Video,Lauren_30s,115,0,2.56,23,19.13%,0
03/12/2018,FY2018_YouTube,Video,Lauren_30s,158,0,3.88,48,30.19%,0
03/16/2018,FY2018_YouTube,Video,Lauren_30s,224,0,5.93,40,17.94%,0
03/24/2018,FY2018_YouTube,Video,Lauren_30s,171,0,6.38,34,19.19%,0
05/14/2018,FY2018_YouTube,Video,Lauren_30s,175,0,3.72,42,24.43%,0
06/09/2018,FY2018_YouTube,Video,Lauren_30s,126,0,5.8,37,29.37%,0
06/10/2018,FY2018_YouTube,Video,Lauren_15s,"1,140",0,43.35,268,23.86%,0
06/12/2018,FY2018_YouTube,Video,Nate_30s,101,0,2.26,24,21.78%,0
06/20/2018,FY2018_YouTube,Video,Nate_30s,116,0,8.01,38,33.62%,0
06/29/2018,FY2018_YouTube,Video,Lauren_15s,988,0,36.6,231,23.61%,0
02/23/2018,FY2018_YouTube,Video,Lauren_30s,149,0,7.49,46,30.87%,0
02/26/2018,FY2018_YouTube,Video,Lauren_30s,170,0,7.5,55,32.35%,0
03/09/2018,FY2018_YouTube,Video,Lauren_30s,159,0,4.31,49,31.45%,0
05/16/2018,FY2018_YouTube,Video,Lauren_30s,16,0,0.34,6,37.50%,0
01/05/2018,FY2018_YouTube,Video,Veronica_30s,18,0,0.22,3,16.67%,0
01/17/2018,FY2018_YouTube,Video,Nate_30s,181,0,6.97,71,39.23%,0
01/25/2018,FY2018_YouTube,Video,Nate_30s,195,0,5.95,52,27.32%,0
01/28/2018,FY2018_YouTube,Video,Nate_30s,149,0,3.54,46,31.54%,0
02/07/2018,FY2018_YouTube,Video,Nate_30s,175,0,7.99,50,28.57%,0
02/28/2018,FY2018_YouTube,Video,Nate_30s,147,0,10.42,51,34.48%,0
03/08/2018,FY2018_YouTube,Video,Veronica_30s,59,0,2.59,12,20.34%,0
03/12/2018,FY2018_YouTube,Video,Lauren_15s,"1,274",0,36.09,299,23.70%,0
03/31/2018,FY2018_YouTube,Video,Lauren_15s,"1,271",0,37.34,289,23.00%,0
04/02/2018,FY2018_YouTube,Video,Lauren_15s,"1,128",0,37.13,279,24.73%,0
04/19/2018,FY2018_YouTube,Video,Nate_30s,124,0,3.76,39,31.45%,0
04/23/2018,FY2018_YouTube,Video,Lauren_15s,"1,359",1,39.27,348,25.74%,0
01/01/2018,FY2018_YouTube,Video,Veronica_30s,38,0,2.19,6,15.79%,0
01/10/2018,FY2018_YouTube,Video,Nate_30s,130,0,4.89,38,29.23%,0
01/11/2018,FY2018_YouTube,Video,Nate_30s,161,0,7.07,47,28.40%,0
01/26/2018,FY2018_YouTube,Video,Nate_30s,136,0,3.06,32,24.81%,0
02/05/2018,FY2018_YouTube,Video,Nate_30s,204,0,6.56,56,27.45%,0
01/12/2018,FY2018_YouTube,Video,Lauren_30s,175,0,3.78,53,30.86%,0
01/20/2018,FY2018_YouTube,Video,Lauren_30s,141,0,4.26,41,28.37%,0
02/07/2018,FY2018_YouTube,Video,Lauren_30s,120,0,4.3,45,36.36%,0
03/28/2018,FY2018_YouTube,Video,Lauren_30s,97,0,7.88,27,26.80%,0
04/12/2018,FY2018_YouTube,Video,Lauren_30s,144,0,3.61,34,24.31%,0
04/25/2018,FY2018_YouTube,Video,Lauren_30s,191,0,8.36,56,29.84%,0
04/03/2018,FY2018_YouTube,Video,Lauren_30s,149,0,3.97,39,26.17%,0
04/06/2018,FY2018_YouTube,Video,Lauren_30s,185,0,5.25,46,24.32%,0
04/16/2018,FY2018_YouTube,Video,Lauren_30s,170,0,4.7,42,25.00%,0
04/19/2018,FY2018_YouTube,Video,Lauren_30s,143,0,2.62,26,17.48%,0
03/03/2018,FY2018_YouTube,Video,Veronica_30s,34,0,1.2,8,23.53%,0
03/12/2018,FY2018_YouTube,Video,Nate_30s,185,0,8.09,54,29.03%,0
03/20/2018,FY2018_YouTube,Video,Lauren_15s,"1,232",0,34.85,316,26.03%,0
03/25/2018,FY2018_YouTube,Video,Nate_30s,147,0,3.2,32,22.60%,0
03/27/2018,FY2018_YouTube,Video,Nate_30s,139,0,3.4,40,28.78%,0
03/28/2018,FY2018_YouTube,Video,Veronica_30s,55,0,2.23,14,25.00%,0
04/20/2018,FY2018_YouTube,Video,Lauren_15s,"1,273",3,37.6,286,22.27%,0
04/21/2018,FY2018_YouTube,Video,Nate_30s,193,0,5.11,43,22.28%,0
06/08/2018,FY2018_YouTube,Video,Lauren_30s,184,0,7.4,41,21.74%,0
06/28/2018,FY2018_YouTube,Video,Lauren_30s,116,0,6.08,31,26.72%,0
04/24/2018,FY2018_YouTube,Video,Lauren_30s,201,0,5.08,53,25.87%,0
05/04/2018,FY2018_YouTube,Video,Lauren_30s,238,0,6.4,53,22.27%,0
06/16/2018,FY2018_YouTube,Video,Lauren_30s,208,0,7.26,47,22.60%,0
06/27/2018,FY2018_YouTube,Video,Lauren_30s,108,1,4.52,27,24.07%,0
01/04/2018,FY2018_YouTube,Video,Lauren_15s,"1,172",2,41.64,216,17.92%,0
01/15/2018,FY2018_YouTube,Video,Nate_30s,175,0,4.86,50,29.14%,0
01/22/2018,FY2018_YouTube,Video,Veronica_30s,36,0,0.95,7,19.44%,0
01/22/2018,FY2018_YouTube,Video,Lauren_15s,"1,304",1,36.01,290,22.53%,0
02/22/2018,FY2018_YouTube,Video,Nate_30s,191,0,3.13,43,21.99%,0
03/10/2018,FY2018_YouTube,Video,Lauren_15s,"1,496",0,37.25,334,22.56%,0
03/22/2018,FY2018_YouTube,Video,Veronica_30s,36,0,1.26,10,27.78%,0
04/30/2018,FY2018_YouTube,Video,Lauren_15s,"1,518",1,39.44,320,21.02%,0
04/26/2018,FY2018_YouTube,Video,Veronica_30s,64,0,1.66,14,21.88%,0
05/01/2018,FY2018_YouTube,Video,Veronica_30s,73,0,2.17,6,8.22%,0
05/03/2018,FY2018_YouTube,Video,Lauren_15s,"1,693",0,41.21,382,22.61%,0
03/05/2018,FY2018_YouTube,Video,Lauren_30s,152,0,3.28,40,26.32%,0
03/18/2018,FY2018_YouTube,Video,Lauren_30s,141,0,6.27,39,26.95%,0
04/08/2018,FY2018_YouTube,Video,Lauren_30s,171,1,4.54,43,24.56%,0
06/06/2018,FY2018_YouTube,Video,Lauren_30s,191,0,8.01,51,26.84%,0
03/23/2018,FY2018_YouTube,Video,Nate_30s,164,0,3.81,34,21.34%,0
04/01/2018,FY2018_YouTube,Video,Lauren_15s,"1,220",1,39.07,317,26.04%,0
04/08/2018,FY2018_YouTube,Video,Lauren_15s,"1,475",1,42.2,382,25.76%,0
05/01/2018,FY2018_YouTube,Video,Lauren_15s,"1,700",0,37.48,323,18.89%,0
06/02/2018,FY2018_YouTube,Video,Nate_30s,150,1,6.37,48,31.33%,0
06/18/2018,FY2018_YouTube,Video,Veronica_30s,50,0,0.73,5,10.00%,0
06/23/2018,FY2018_YouTube,Video,Lauren_15s,"1,267",0,40.76,309,24.49%,0
06/28/2018,FY2018_YouTube,Video,Nate_30s,93,0,6.44,27,30.11%,0
06/03/2018,FY2018_YouTube,Video,Nate_30s,158,0,3.61,30,18.99%,0
06/10/2018,FY2018_YouTube,Video,Nate_30s,123,1,6.95,47,36.59%,0
06/12/2018,FY2018_YouTube,Video,Lauren_15s,"1,172",0,50.83,292,25.19%,0
06/29/2018,FY2018_YouTube,Video,Veronica_30s,58,0,8.84,19,34.48%,0
05/12/2018,FY2018_YouTube,Video,Nate_30s,180,0,5.28,44,23.89%,0
06/03/2018,FY2018_YouTube,Video,Lauren_15s,"1,776",0,44.3,383,21.77%,0
06/04/2018,FY2018_YouTube,Video,Veronica_30s,54,0,0.63,11,20.00%,0
06/16/2018,FY2018_YouTube,Video,Nate_30s,139,1,4.89,38,25.71%,0
06/17/2018,FY2018_YouTube,Video,Lauren_15s,"1,059",0,42.48,249,23.89%,0
06/25/2018,FY2018_YouTube,Video,Lauren_15s,924,0,46.05,245,26.46%,0
01/03/2018,FY2018_YouTube,Video,Lauren_30s,118,0,6.09,29,24.58%,0
01/28/2018,FY2018_YouTube,Video,Lauren_30s,80,0,2.09,28,35.00%,0
03/13/2018,FY2018_YouTube,Video,Lauren_30s,166,0,4.57,40,24.55%,0
04/29/2018,FY2018_YouTube,Video,Lauren_30s,184,0,4.49,55,30.05%,0
06/15/2018,FY2018_YouTube,Video,Lauren_30s,122,0,7.64,33,27.05%,0
06/18/2018,FY2018_YouTube,Video,Lauren_30s,128,0,3.53,29,22.66%,0
06/26/2018,FY2018_YouTube,Video,Lauren_30s,134,0,3.23,30,22.39%,0
01/14/2018,FY2018_YouTube,Video,Lauren_30s,176,0,3.69,54,30.68%,0
02/15/2018,FY2018_YouTube,Video,Lauren_30s,157,0,4.07,49,31.21%,0
02/19/2018,FY2018_YouTube,Video,Lauren_30s,147,0,5.22,55,37.41%,0
03/07/2018,FY2018_YouTube,Video,Lauren_30s,139,0,3.77,34,25.90%,0
03/08/2018,FY2018_YouTube,Video,Lauren_30s,139,0,4.09,35,25.90%,0
05/08/2018,FY2018_YouTube,Video,Veronica_30s,69,0,2.56,16,21.74%,0
05/15/2018,FY2018_YouTube,Video,Lauren_15s,"1,423",1,37.91,369,25.89%,0
05/24/2018,FY2018_YouTube,Video,Nate_30s,89,0,1.85,24,26.97%,0
05/24/2018,FY2018_YouTube,Video,Veronica_30s,64,0,3.92,9,13.85%,0
05/30/2018,FY2018_YouTube,Video,Veronica_30s,87,0,1.43,9,10.34%,0
06/02/2018,FY2018_YouTube,Video,Veronica_30s,44,0,0.93,7,15.91%,0
06/04/2018,FY2018_YouTube,Video,Lauren_15s,"1,512",0,46.49,374,24.65%,0
06/06/2018,FY2018_YouTube,Video,Nate_30s,135,0,4.3,26,18.52%,0
06/07/2018,FY2018_YouTube,Video,Veronica_30s,68,0,2.79,10,14.71%,0
06/21/2018,FY2018_YouTube,Video,Nate_30s,129,0,4.21,41,31.01%,0
06/26/2018,FY2018_YouTube,Video,Veronica_30s,49,0,3.19,12,24.49%,0
03/19/2018,FY2018_YouTube,Video,Lauren_30s,128,0,3.53,34,27.34%,0
05/07/2018,FY2018_YouTube,Video,Lauren_30s,207,1,4.67,46,21.74%,0
05/27/2018,FY2018_YouTube,Video,Lauren_30s,167,0,3.98,39,23.35%,0
01/14/2018,FY2018_YouTube,Video,Nate_30s,205,1,7.91,55,25.98%,0
01/25/2018,FY2018_YouTube,Video,Veronica_30s,40,0,0.79,9,22.50%,0
03/02/2018,FY2018_YouTube,Video,Nate_30s,180,0,5.18,61,33.33%,0
03/04/2018,FY2018_YouTube,Video,Lauren_15s,"1,595",1,36.18,366,22.90%,0
03/22/2018,FY2018_YouTube,Video,Nate_30s,157,0,5.48,42,26.11%,0
03/29/2018,FY2018_YouTube,Video,Lauren_15s,"1,163",0,39.14,287,24.83%,0
04/05/2018,FY2018_YouTube,Video,Nate_30s,196,0,7.92,56,27.55%,0
04/09/2018,FY2018_YouTube,Video,Veronica_30s,44,0,0.46,6,13.64%,0
01/04/2018,FY2018_YouTube,Video,Lauren_30s,77,0,3.72,10,12.99%,0
02/21/2018,FY2018_YouTube,Video,Lauren_30s,136,0,5.11,43,31.85%,0
03/03/2018,FY2018_YouTube,Video,Lauren_30s,118,0,3.83,40,33.90%,0
04/17/2018,FY2018_YouTube,Video,Lauren_30s,170,0,4.08,53,32.35%,0
01/05/2018,FY2018_YouTube,Video,Lauren_15s,"1,323",0,40.74,211,15.95%,0
01/10/2018,FY2018_YouTube,Video,Veronica_30s,34,0,0.89,12,34.29%,0
01/15/2018,FY2018_YouTube,Video,Lauren_15s,"1,285",1,41.56,314,24.65%,0
01/17/2018,FY2018_YouTube,Video,Veronica_30s,59,0,1.03,13,20.34%,0
01/24/2018,FY2018_YouTube,Video,Veronica_30s,43,0,0.69,5,13.95%,0
01/28/2018,FY2018_YouTube,Video,Lauren_15s,"1,032",0,44.07,240,23.26%,0
04/15/2018,FY2018_YouTube,Video,Nate_30s,183,0,6.12,44,23.89%,0
04/20/2018,FY2018_YouTube,Video,Nate_30s,147,0,4.25,31,20.41%,0
01/31/2018,FY2018_YouTube,Video,Lauren_15s,"1,241",0,41.26,274,22.05%,0
02/09/2018,FY2018_YouTube,Video,Lauren_15s,"1,379",0,33.47,323,23.66%,0
02/13/2018,FY2018_YouTube,Video,Veronica_30s,76,0,2.1,14,18.42%,0
02/13/2018,FY2018_YouTube,Video,Lauren_15s,"1,282",0,37.11,306,24.16%,0
02/16/2018,FY2018_YouTube,Video,Nate_30s,216,1,6.94,62,28.70%,0
01/19/2018,FY2018_YouTube,Video,Lauren_30s,130,0,4.19,43,33.08%,0
03/17/2018,FY2018_YouTube,Video,Lauren_30s,95,0,2.63,27,28.42%,0
04/20/2018,FY2018_YouTube,Video,Lauren_30s,181,0,8.67,40,21.55%,0
04/30/2018,FY2018_YouTube,Video,Lauren_30s,208,0,5.45,42,18.27%,0
06/22/2018,FY2018_YouTube,Video,Lauren_30s,193,0,8.26,49,25.39%,0
03/23/2018,FY2018_YouTube,Video,Lauren_30s,109,0,4.36,32,29.09%,0
04/15/2018,FY2018_YouTube,Video,Lauren_30s,189,1,5.77,35,18.28%,0
04/22/2018,FY2018_YouTube,Video,Lauren_30s,200,0,6.62,45,23.00%,0
