Date,Campaign,Ad,Site (DCM),Placement,Ad Type,Creative,Click-through URL,Clicks,Impressions,Click Rate
03/10/2018,USM_FY18,300x250_DBM_Kusow,doubleclick.com/bidmanager,USMFY18_DBM_300x250,Standard,300x250_USM-Refresh_Kusow-A,(not set),2,2649,0.08
03/18/2018,USM_FY18,300x250_DBM_Kusow,doubleclick.com/bidmanager,USMFY18_DBM_300x250,Standard,300x250_USM-Refresh_Kusow-A,(not set),2,2653,0.08
03/10/2018,USM_FY18,300x250_DBM_Danica,doubleclick.com/bidmanager,USMFY18_DBM_300x250,Standard,300x250_USM-Refresh_Danica-A,(not set),2,2657,0.08
01/19/2018,USM_FY18,160x600_DBM_Lauren,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,Lauren_160x600,(not set),2,2662,0.08
04/10/2018,USM_FY18_VMEA,300x250_FY18_VMEA,Mainetoday.com - Portland Press Herald,300x250_FY18_VMEA_PPH,Standard,USM-FY18_VMEA_300x250_B,(not set),2,2663,0.08
02/20/2018,USM_FY18,300x250_DBM_Kusow,doubleclick.com/bidmanager,USMFY18_DBM_300x250,Standard,300x250_USM-Refresh_Kusow-B,(not set),3,3561,0.08
04/24/2018,USM_FY18,USMFY18_Summer_DBM_160x600,doubleclick.com/bidmanager,USMFY18_Summer_DBM_160x600,Standard,USM-FY18_SummerSession_160x600,(not set),3,3568,0.08
02/20/2018,USM_FY18,300x250_DBM_Elliot,doubleclick.com/bidmanager,USMFY18_DBM_300x250,Standard,300x250_USM-Refresh_Elliot-B,(not set),3,3583,0.08
04/16/2018,USM_FY18_VMEA,300x250_FY18_VMEA,Mainetoday.com - Portland Press Herald,300x250_FY18_VMEA_PPH,Standard,USM-FY18_VMEA_300x250_A,(not set),3,3584,0.08
02/12/2018,USM_FY18,300x250_DBM_Danica,doubleclick.com/bidmanager,USMFY18_DBM_300x250,Standard,300x250_USM-Refresh_Danica-B,(not set),3,3605,0.08
